arm,true_grammar,impostor_id,surface_seed,frac,rotation_deg,degradation,degradation_param,wb_gain_bgr,boundaries_spanned,top_sheet,top_aggregate,verdict_001,aggregate_001,coverage_001,renormalised_001,verdict_002,aggregate_002,coverage_002,renormalised_002,ink002_agreement,ink002_agr_absolute,ink002_agr_relationship,ink002_gain_b,ink002_gain_g,ink002_gain_r,ink002_implied_b,ink002_implied_g,ink002_implied_r,ink002_gain_in_bounds,ink002_relationship_applicable,ink002_n_inks,ink002_n_clipped,ink002_rank_corr
surface_001,bar-cascade-001,,2,0.05,0.0,none,,,1,bar-cascade-001,0.3239,not_recognised,0.3239,1.0,0.3239,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.05,0.0,none,,,1,bar-cascade-001,0.3465,not_recognised,0.3465,1.0,0.3465,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.05,0.0,none,,,2,bar-cascade-001,0.1554,not_recognised,0.1554,0.4,0.3885,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,3,0,-0.6667
surface_001,bar-cascade-001,,2,0.05,0.0,none,,,1,bar-cascade-001,0.3772,not_recognised,0.3772,1.0,0.3772,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,3,0,0.1667
surface_001,bar-cascade-001,,2,0.05,0.0,none,,,2,bar-cascade-001,0.4953,candidate,0.4953,1.0,0.4953,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.1,0.0,none,,,1,bar-cascade-001,0.3299,not_recognised,0.3299,1.0,0.3299,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.1,0.0,none,,,2,bar-cascade-001,0.3457,not_recognised,0.3457,1.0,0.3457,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.1,0.0,none,,,2,bar-cascade-001,0.4094,candidate,0.4094,1.0,0.4094,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.1,0.0,none,,,2,bar-cascade-001,0.3406,not_recognised,0.3406,1.0,0.3406,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.1,0.0,none,,,1,bar-cascade-001,0.1554,not_recognised,0.1554,0.4,0.3886,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,3,0,-0.6667
surface_001,bar-cascade-001,,0,0.1,0.0,none,,,1,bar-cascade-001,0.4781,candidate,0.4781,1.0,0.4781,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,3,0,0.1667
surface_001,bar-cascade-001,,0,0.1,0.0,none,,,1,bar-cascade-001,0.4732,candidate,0.4732,1.0,0.4732,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.1,0.0,none,,,1,bar-cascade-001,0.3406,not_recognised,0.3406,1.0,0.3406,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.1,0.0,none,,,2,bar-cascade-001,0.3339,not_recognised,0.3339,1.0,0.3339,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.1,0.0,none,,,1,bar-cascade-001,0.5034,candidate,0.5034,1.0,0.5034,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.1,0.0,none,,,2,bar-cascade-001,0.5107,candidate,0.5107,1.0,0.5107,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.1,0.0,none,,,1,bar-cascade-001,0.3548,not_recognised,0.3548,1.0,0.3548,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,3,0,0.1667
